Molecule,Route,Technical Specifications,Level 1,Level 2,Level 3,Level 4,ATC Code
Risperidone,Oral:,1 mg/mL Oral Solution in 100 mL *Primary Health Care,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Other antipsychotics,N05AX08 
Risperidone,Inj.:,25 mg Modified Release (MR) Powder for suspension Vial + 2 mL diluent in pre-filled syringe (IM) *Primary Health Care,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Other antipsychotics,N05AX08 
Risperidone,Inj.:,37.5 mg Modified Release (MR) Powder for suspension Vial + 2 mL diluent in pre-filled syringe (IM) *Primary Health Care,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Other antipsychotics,N05AX08 
Risperidone,Inj.:,50 mg Polonged Release (PR) suspension for injection + 2 mL diluent (IM)(This should not be administered to patients with dementia-related psychoses because of high risk of cardiovascular and infectiious related deaths.) ,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Other antipsychotics,N05AX08 
Rituximab,Inj.:,10 mg/mL in 10 mL Vial (IV) ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,CD20 (Clusters of Differentiation 20) inhibitors,L01FA01 
Rituximab,Inj.:,10 mg/mL in 50 mL Vial (IV) ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,CD20 (Clusters of Differentiation 20) inhibitors,L01FA01 
Rivastigmine,Oral:,1.5 mg (as Hydrogen tartrate) Capsule ,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTI-DEMENTIA DRUGS,Anticholinesterases,N06DA03 
Rivastigmine,Oral:,3 mg (as Hydrogen tartrate) Capsule ,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTI-DEMENTIA DRUGS,Anticholinesterases,N06DA03 
Rivastigmine,Oral:,6 mg (as Hydrogen tartrate) Capsule ,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTI-DEMENTIA DRUGS,Anticholinesterases,N06DA03 
Rocuronium,Inj.:,10 mg/mL (as Bromide) in 5 mL Ampul/Vial (IV) ,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",Other quaternary ammonium compounds,M03AC09 
